Date,Weekly U.S. Product Supplied of Distillate Fuel Oil  (Thousand Barrels per Day)
2010-08-27,3927
2010-09-03,3932
2010-09-10,3842
2010-09-17,3689
2010-09-24,3899
2010-10-01,3724
2010-10-08,3704
2010-10-15,3954
2010-10-22,4064
2010-10-29,4106
2010-11-05,4394
2010-11-12,3780
2010-11-19,3804
2010-11-26,3668
2010-12-03,3664
2010-12-10,3771
2010-12-17,4049
2010-12-24,3991
2010-12-31,3735
2011-01-07,3569
2011-01-14,3611
2011-01-21,3710
2011-01-28,3891
2011-02-04,3682
2011-02-11,3979
2011-02-18,3654
2011-02-25,3697
2011-03-04,4206
2011-03-11,3910
2011-03-18,3771
2011-03-25,3637
2011-04-01,3672
2011-04-08,3800
2011-04-15,4112
2011-04-22,3737
2011-04-29,3893
2011-05-06,3769
2011-05-13,3620
2011-05-20,3984
2011-05-27,3846
2011-06-03,3802
2011-06-10,3604
2011-06-17,3419
2011-06-24,3552
2011-07-01,3743
2011-07-08,3324
2011-07-15,3402
2011-07-22,3458
2011-07-29,3998
2011-08-05,3946
2011-08-12,3553
2011-08-19,3850
2011-08-26,4086
2011-09-02,3853
2011-09-09,3658
2011-09-16,3875
2011-09-23,3818
2011-09-30,4100
2011-10-07,4068
2011-10-14,4183
2011-10-21,4249
2011-10-28,4374
2011-11-04,4362
2011-11-11,4189
2011-11-18,4069
2011-11-25,3240
2011-12-02,3920
2011-12-09,3953
2011-12-16,4400
2011-12-23,3804
2011-12-30,3528
2012-01-06,3279
2012-01-13,3635
2012-01-20,3886
2012-01-27,3736
2012-02-03,3436
2012-02-10,3811
2012-02-17,3324
2012-02-24,3673
2012-03-02,3545
2012-03-09,3832
2012-03-16,3217
2012-03-23,3596
2012-03-30,3597
2012-04-06,3932
2012-04-13,4016
2012-04-20,3796
2012-04-27,3550
2012-05-04,3957
2012-05-11,3648
2012-05-18,3608
2012-05-25,3860
2012-06-01,3379
2012-06-08,3685
2012-06-15,3505
2012-06-22,3827
2012-06-29,3849
2012-07-06,3244
2012-07-13,3366
2012-07-20,3482
2012-07-27,3746
2012-08-03,3790
2012-08-10,3569
2012-08-17,3561
2012-08-24,3563
2012-08-31,3221
2012-09-07,3269
2012-09-14,3685
2012-09-21,3704
2012-09-28,4092
2012-10-05,3822
2012-10-12,3879
2012-10-19,3526
2012-10-26,3543
2012-11-02,3589
2012-11-09,4106
2012-11-16,4201
2012-11-23,3837
2012-11-30,3544
2012-12-07,3500
2012-12-14,4214
2012-12-21,3711
2012-12-28,3256
2013-01-04,3086
2013-01-11,3446
2013-01-18,3372
2013-01-25,3721
2013-02-01,3624
2013-02-08,3942
2013-02-15,3808
2013-02-22,3502
2013-03-01,3857
2013-03-08,3348
2013-03-15,3580
2013-03-22,4222
2013-03-29,3881
2013-04-05,3852
2013-04-12,3626
2013-04-19,3588
2013-04-26,3665
2013-05-03,3664
2013-05-10,3577
2013-05-17,4220
2013-05-24,3816
2013-05-31,3751
2013-06-07,4078
2013-06-14,4015
2013-06-21,3894
2013-06-28,4450
2013-07-05,3843
2013-07-12,3817
2013-07-19,4309
2013-07-26,3977
2013-08-02,3874
2013-08-09,3611
2013-08-16,3612
2013-08-23,3842
2013-08-30,3804
2013-09-06,3523
2013-09-13,4051
2013-09-20,3581
2013-09-27,3831
2013-10-04,3826
2013-10-11,3731
2013-10-18,3330
2013-10-25,4156
2013-11-01,4512
2013-11-08,3790
2013-11-15,4333
2013-11-22,4024
2013-11-29,3550
2013-12-06,3304
2013-12-13,4089
2013-12-20,4171
2013-12-27,3314
2014-01-03,3022
2014-01-10,3724
2014-01-17,3779
2014-01-24,4524
2014-01-31,3940
2014-02-07,3675
2014-02-14,3623
2014-02-21,3617
